Common Name,Scientific Name,Count,Threshold
GreenishWarbler,Phylloscopus trochiloides,299,0.47999998927116394
Gadwall,Mareca strepera,301,0.6500000357627869
CommonRedpoll,Acanthis flammea,303,0.699999988079071
CanadaGoose,Branta canadensis,307,0.4399999976158142
DartfordWarbler,Curruca undata,316,0.47999998927116394
BarnacleGoose,Branta leucopsis,317,0.4699999988079071
EurasianThree-toedWoodpecker,Picoides tridactylus,317,0.4699999988079071
ArcticTern,Sterna paradisaea,318,0.22999998927116394
BarredWarbler,Curruca nisoria,319,0.699999988079071
Yellow-browedWarbler,Phylloscopus inornatus,326,0.35999998450279236
PiedAvocet,Recurvirostra avosetta,329,0.8199999928474426
EasternSubalpineWarbler,Curruca cantillans,339,0.4699999988079071
CrestedLark,Galerida cristata,342,0.35999998450279236
NorthernWheatear,Oenanthe oenanthe,347,0.800000011920929
CommonKestrel,Falco tinnunculus,348,0.6100000143051147
EurasianHoopoe,Upupa epops,353,0.3499999940395355
CollaredFlycatcher,Ficedula albicollis,358,0.5199999809265137
GreyPlover,Pluvialis squatarola,358,0.3199999928474426
Black-tailedGodwit,Limosa limosa,360,0.26999998092651367
LittleEgret,Egretta garzetta,362,0.3499999940395355
GreaterWhite-frontedGoose,Anser albifrons,373,0.28999999165534973
SandwichTern,Thalasseus sandvicensis,375,0.26999998092651367
Rook,Corvus frugilegus,378,0.6100000143051147
EuropeanBee-eater,Merops apiaster,384,0.4099999964237213
EuropeanHerringGull,Larus argentatus,405,0.2199999988079071
LittleBittern,Ixobrychus minutus,410,0.4899999797344208
WaterPipit,Anthus spinoletta,412,0.4399999976158142
CommonGull,Larus canus,415,0.14999999105930328
MuteSwan,Cygnus olor,423,0.5099999904632568
CommonHouseMartin,Delichon urbicum,426,0.5199999809265137
Black-crownedNightHeron,Nycticorax nycticorax,431,0.4099999964237213
Yellow-leggedGull,Larus michahellis,439,0.3100000023841858
RiverWarbler,Locustella fluviatilis,442,0.22999998927116394
EurasianWryneck,Jynx torquilla,443,0.3199999928474426
EurasianScopsOwl,Otus scops,445,0.6399999856948853
Black-wingedStilt,Himantopus himantopus,451,0.4099999964237213
SpottedCrake,Porzana porzana,453,0.12999999523162842
EurasianWigeon,Mareca penelope,461,0.26999998092651367
EurasianStone-curlew,Burhinus oedicnemus,466,0.7099999785423279
GreyWagtail,Motacilla cinerea,473,0.41999998688697815
SavisWarbler,Locustella luscinioides,473,0.1899999976158142
Grey-headedWoodpecker,Picus canus,483,0.5400000214576721
EurasianBittern,Botaurus stellaris,486,0.3700000047683716
ZittingCisticola,Cisticola juncidis,488,0.26999998092651367
BorealOwl,Aegolius funereus,494,0.6299999952316284
Whinchat,Saxicola rubetra,503,0.6399999856948853
CommonTern,Sterna hirundo,506,0.6399999856948853
CommonRosefinch,Carpodacus erythrinus,508,0.800000011920929
EurasianEagle-Owl,Bubo bubo,509,0.5099999904632568
EurasianPygmyOwl,Glaucidium passerinum,514,0.5699999928474426
EurasianCollaredDove,Streptopelia decaocto,517,0.11999999731779099
MiddleSpottedWoodpecker,Dendrocoptes medius,521,0.6000000238418579
CommonKingfisher,Alcedo atthis,522,0.5300000309944153
CommonSwift,Apus apus,522,0.3499999940395355
Red-backedShrike,Lanius collurio,524,0.6500000357627869
RingOuzel,Turdus torquatus,526,0.429999977350235
WoodSandpiper,Tringa glareola,527,0.4699999988079071
Brambling,Fringilla montifringilla,533,0.41999998688697815
NorthernGoshawk,Accipiter gentilis,545,0.6000000238418579
Dunlin,Calidris alpina,553,0.38999998569488525
